AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM_N,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Mobile Money,Afrimoney,Master Agent,,,Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,88178231,-13.23193,8.48951,
Mobile Money,Afrimoney,Retailer Agent,,,Garrison St By Rawdon St,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,30168682,-13.23177,8.48817,
Mobile Money,Afrimoney,Retailer Agent,,,40 Rawdon Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,80815660,-13.23176,8.48807,
Mobile Money,Afrimoney,Retailer Agent,,,Aj Momoh Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,99919294,-13.23173,8.48506,
Mobile Money,Afrimoney,Retailer Agent,,,13 Williams Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,30168682,-13.2317,8.48829,
Mobile Money,Afrimoney,Retailer Agent,,,N287 New Low Cost,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,30168682,-13.23169,8.48827,
Mobile Money,Afrimoney,Retailer Agent,,,22 Rawdon Street By PZ,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,30168682,-13.23165,8.48812,
Mobile Money,Afrimoney,Retailer Agent,,,48 Rowdon Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,33355454,-13.23157,8.48782,
Mobile Money,Afrimoney,Retailer Agent,,,Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,80084849,-13.23147,8.48897,
Mobile Money,Afrimoney,Retailer Agent,,,PZ,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,99123794,-13.23138,8.48852,
Mobile Money,Afrimoney,Retailer Agent,,,PZ,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,30879894,-13.23131,8.48864,
Mobile Money,Afrimoney,Retailer Agent,,,PZ Round About,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,77929164,-13.23126,8.48857,
Mobile Money,Afrimoney,Retailer Agent,,,PZ Roundabout,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,30628605,-13.23125,8.4886,
